SKU,Product Id,Status,ProductName,Color,Cut,Material,Gender,BrandSegment,Pillar,MerchPlannerCategory,Sleeve,ProductType,SizeChart,SizeChartMessaging,Price,SalePrice,Description,ActualStartDate,TargetLaunchDate,InitialSeasonLaunch,LifeCycle,InitialPairsOrdered,NikeProductID,InstanceID,FOB,APS,ProdManOnly,MainColorHex,AccentColorHex,X Ref Style,Comments,CORE,dyoVersionProductID,dyoVersionInspirationID,images,page-attributes,bundled-products
W40828,MP_2000,Online,1908 Premium- Medium,Black Wash,,Canvas,Women,,Accessories,Watches,,regular,Standard Size Chart,,75,0,,02/01/13,02/01/13,13 Spring,Runout,12,,,,,FALSE,,,,,N,,,1,1,1
W40827,MP_2000,Online,1908 Premium- Medium,White Wash,,Canvas,Women,,Accessories,Watches,,regular,Standard Size Chart,,75,0,,02/01/13,02/01/13,13 Spring,Runout,8,,,,,FALSE,,,,,N,,,,,
W40825,,Online,1908 Premium- Large,Black,,Suede,Men,,Accessories,Watches,,regular,Standard Size Chart,,85,0,,02/01/13,02/01/13,13 Spring,Runout,20,,,,,FALSE,,,,,N,,,,,
W40824,MP_2011,Online,Full Court,White,,Silicone,Unisex,,Accessories,Watches,,regular,Standard Size Chart,,75,0,,02/01/13,02/01/13,13 Spring,Runout,8,,,,,FALSE,,,,,N,,,,,
W40823,MP_2011,Online,Full Court,Lemon Chrome,,Silicone,Unisex,,Accessories,Watches,,regular,Standard Size Chart,,75,0,,02/01/13,02/01/13,13 Spring,Runout,16,,,,,FALSE,,,,,N,,,,,
W40822,MP_2011,Online,Full Court,Ponderosa Pine,,Silicone,Unisex,,Accessories,Watches,,regular,Standard Size Chart,,75,0,,02/01/13,02/01/13,13 Spring,Runout,8,,,,,FALSE,,,,,N,,,,,
W40821,MP_2011,Online,Full Court,Black,,Silicone,Unisex,,Accessories,Watches,,regular,Standard Size Chart,,75,0,,02/01/13,02/01/13,13 Spring,Runout,20,,,,,FALSE,,,,,N,,,,,
W38535,MP_2001,Online,1908- Remix,Blue,,Polyurethane,Unisex,,Accessories,Watches,,regular,Standard Size Chart,,75,0,,09/17/12,10/01/12,12 Holiday,Runout,20,,,,,FALSE,,,,,N,,,,,
W38534,MP_2001,Online,1908- Remix,Pink,,Polyurethane,Unisex,,Accessories,Watches,,regular,Standard Size Chart,,75,0,,09/17/12,10/01/12,12 Holiday,Runout,20,,,,,FALSE,,,,,N,,,,,
W38533,MP_2001,Online,1908- Remix,Glow in the Dark,,Polyurethane,Unisex,,Accessories,Watches,,regular,Standard Size Chart,Runs true to size,75,,,,,12 Holiday,Runout,,,,,,FALSE,,,,pending,N,,,,,
W38532,MP_2001,Online,1908- Remix,Black,,Polyurethane,Unisex,,Accessories,Watches,,regular,Standard Size Chart,,75,0,,09/17/12,10/01/12,12 Holiday,Runout,20,,,,,FALSE,,,,,N,,,,,
W38531,MP_2010,Online,Clocked II,Black,,Silicone,Unisex,,Accessories,Watches,,regular,Standard Size Chart,,95,0,,09/17/12,10/01/12,12 Holiday,Runout,25,,,,,FALSE,,,,,N,,,,,
